gobierno,presidente,ano,indicador,valor,unidad,fuente,nota
Uribe I 2002-2006,Álvaro Uribe,2006,Pruebas PISA ciencias,388,puntos,OCDE,
Uribe II 2006-2010,Álvaro Uribe,2006,Cobertura neta secundaria,65,%,MEN Anuario Estadístico,
Uribe II 2006-2010,Álvaro Uribe,2008,Cobertura neta secundaria,68.5,%,MEN Anuario Estadístico,
Uribe II 2006-2010,Álvaro Uribe,2010,Cobertura neta secundaria,72,%,MEN Anuario Estadístico,
Uribe II 2006-2010,Álvaro Uribe,2006,Tasa analfabetismo,8.2,%,DANE,
Uribe II 2006-2010,Álvaro Uribe,2008,Tasa analfabetismo,7.5,%,DANE,
Uribe II 2006-2010,Álvaro Uribe,2010,Tasa analfabetismo,7.0,%,DANE,
Uribe II 2006-2010,Álvaro Uribe,2006,Cobertura educación superior,32,%,MEN,
Uribe II 2006-2010,Álvaro Uribe,2008,Cobertura educación superior,35,%,MEN,
Uribe II 2006-2010,Álvaro Uribe,2010,Cobertura educación superior,38,%,MEN,
Uribe II 2006-2010,Álvaro Uribe,2006,Inversión educación % PIB,5.2,%,Banco Mundial,
Uribe II 2006-2010,Álvaro Uribe,2008,Inversión educación % PIB,5.4,%,Banco Mundial,
Uribe II 2006-2010,Álvaro Uribe,2010,Inversión educación % PIB,5.6,%,Banco Mundial,
Uribe II 2006-2010,Álvaro Uribe,2006,Deserción intra-anual,6.0,%,MEN,
Uribe II 2006-2010,Álvaro Uribe,2008,Deserción intra-anual,5.5,%,MEN,
Uribe II 2006-2010,Álvaro Uribe,2010,Deserción intra-anual,5.2,%,MEN,
Uribe II 2006-2010,Álvaro Uribe,2006,Pruebas Saber 11 puntaje promedio,252,puntos,ICFES,
Uribe II 2006-2010,Álvaro Uribe,2008,Pruebas Saber 11 puntaje promedio,255,puntos,ICFES,
Uribe II 2006-2010,Álvaro Uribe,2010,Pruebas Saber 11 puntaje promedio,258,puntos,ICFES,
Uribe II 2006-2010,Álvaro Uribe,2009,Pruebas PISA matemáticas,381,puntos,OCDE,
Uribe II 2006-2010,Álvaro Uribe,2009,Pruebas PISA lectura,385,puntos,OCDE,
Uribe II 2006-2010,Álvaro Uribe,2009,Pruebas PISA ciencias,402,puntos,OCDE,
Santos I 2010-2014,Juan Manuel Santos,2010,Cobertura neta secundaria,72,%,MEN Anuario Estadístico,
Santos I 2010-2014,Juan Manuel Santos,2012,Cobertura neta secundaria,75,%,MEN Anuario Estadístico,
Santos I 2010-2014,Juan Manuel Santos,2014,Cobertura neta secundaria,78,%,MEN Anuario Estadístico,
Santos I 2010-2014,Juan Manuel Santos,2010,Tasa analfabetismo,7.0,%,DANE,
Santos I 2010-2014,Juan Manuel Santos,2012,Tasa analfabetismo,6.5,%,DANE,
Santos I 2010-2014,Juan Manuel Santos,2014,Tasa analfabetismo,6.2,%,DANE,
Santos I 2010-2014,Juan Manuel Santos,2010,Cobertura educación superior,38,%,MEN,
Santos I 2010-2014,Juan Manuel Santos,2012,Cobertura educación superior,41,%,MEN,
Santos I 2010-2014,Juan Manuel Santos,2014,Cobertura educación superior,44,%,MEN,
Santos I 2010-2014,Juan Manuel Santos,2010,Inversión educación % PIB,5.6,%,Banco Mundial,
Santos I 2010-2014,Juan Manuel Santos,2012,Inversión educación % PIB,5.8,%,Banco Mundial,
Santos I 2010-2014,Juan Manuel Santos,2014,Inversión educación % PIB,6.0,%,Banco Mundial,
Santos I 2010-2014,Juan Manuel Santos,2010,Deserción intra-anual,5.2,%,MEN,
Santos I 2010-2014,Juan Manuel Santos,2012,Deserción intra-anual,4.8,%,MEN,
Santos I 2010-2014,Juan Manuel Santos,2014,Deserción intra-anual,4.5,%,MEN,
Santos I 2010-2014,Juan Manuel Santos,2010,Pruebas Saber 11 puntaje promedio,258,puntos,ICFES,
Santos I 2010-2014,Juan Manuel Santos,2012,Pruebas Saber 11 puntaje promedio,260,puntos,ICFES,
Santos I 2010-2014,Juan Manuel Santos,2014,Pruebas Saber 11 puntaje promedio,262,puntos,ICFES,
Santos I 2010-2014,Juan Manuel Santos,2012,Pruebas PISA matemáticas,376,puntos,OCDE,
Santos I 2010-2014,Juan Manuel Santos,2012,Pruebas PISA lectura,399,puntos,OCDE,
Santos I 2010-2014,Juan Manuel Santos,2012,Pruebas PISA ciencias,405,puntos,OCDE,
Santos II 2014-2018,Juan Manuel Santos,2014,Cobertura neta secundaria,78,%,MEN Anuario Estadístico,
Santos II 2014-2018,Juan Manuel Santos,2016,Cobertura neta secundaria,80,%,MEN Anuario Estadístico,
Santos II 2014-2018,Juan Manuel Santos,2018,Cobertura neta secundaria,82,%,MEN Anuario Estadístico,
Santos II 2014-2018,Juan Manuel Santos,2014,Tasa analfabetismo,6.2,%,DANE,
Santos II 2014-2018,Juan Manuel Santos,2016,Tasa analfabetismo,5.8,%,DANE,
Santos II 2014-2018,Juan Manuel Santos,2018,Tasa analfabetismo,5.5,%,DANE,
Santos II 2014-2018,Juan Manuel Santos,2014,Cobertura educación superior,44,%,MEN,
Santos II 2014-2018,Juan Manuel Santos,2016,Cobertura educación superior,46.5,%,MEN,
Santos II 2014-2018,Juan Manuel Santos,2018,Cobertura educación superior,49,%,MEN,
Santos II 2014-2018,Juan Manuel Santos,2014,Inversión educación % PIB,6.0,%,Banco Mundial,
Santos II 2014-2018,Juan Manuel Santos,2016,Inversión educación % PIB,6.15,%,Banco Mundial,
Santos II 2014-2018,Juan Manuel Santos,2018,Inversión educación % PIB,6.3,%,Banco Mundial,
Santos II 2014-2018,Juan Manuel Santos,2014,Deserción intra-anual,4.5,%,MEN,
Santos II 2014-2018,Juan Manuel Santos,2016,Deserción intra-anual,4.2,%,MEN,
Santos II 2014-2018,Juan Manuel Santos,2018,Deserción intra-anual,4.0,%,MEN,
Santos II 2014-2018,Juan Manuel Santos,2014,Pruebas Saber 11 puntaje promedio,262,puntos,ICFES,
Santos II 2014-2018,Juan Manuel Santos,2016,Pruebas Saber 11 puntaje promedio,263.5,puntos,ICFES,
Santos II 2014-2018,Juan Manuel Santos,2018,Pruebas Saber 11 puntaje promedio,265,puntos,ICFES,
Santos II 2014-2018,Juan Manuel Santos,2015,Pruebas PISA matemáticas,377,puntos,OCDE,
Santos II 2014-2018,Juan Manuel Santos,2015,Pruebas PISA lectura,408,puntos,OCDE,
Santos II 2014-2018,Juan Manuel Santos,2015,Pruebas PISA ciencias,411,puntos,OCDE,
Duque 2018-2022,Iván Duque,2018,Cobertura neta secundaria,82,%,MEN Anuario Estadístico,
Duque 2018-2022,Iván Duque,2020,Cobertura neta secundaria,79,%,MEN Anuario Estadístico,Impacto pandemia
Duque 2018-2022,Iván Duque,2022,Cobertura neta secundaria,80,%,MEN Anuario Estadístico,Recuperación parcial
Duque 2018-2022,Iván Duque,2018,Tasa analfabetismo,5.5,%,DANE,
Duque 2018-2022,Iván Duque,2020,Tasa analfabetismo,5.3,%,DANE,
Duque 2018-2022,Iván Duque,2022,Tasa analfabetismo,5.2,%,DANE,
Duque 2018-2022,Iván Duque,2018,Cobertura educación superior,49,%,MEN,
Duque 2018-2022,Iván Duque,2020,Cobertura educación superior,50,%,MEN,
Duque 2018-2022,Iván Duque,2022,Cobertura educación superior,51,%,MEN,
Duque 2018-2022,Iván Duque,2018,Inversión educación % PIB,6.3,%,Banco Mundial,
Duque 2018-2022,Iván Duque,2020,Inversión educación % PIB,6.4,%,Banco Mundial,
Duque 2018-2022,Iván Duque,2022,Inversión educación % PIB,6.5,%,Banco Mundial,
Duque 2018-2022,Iván Duque,2018,Deserción intra-anual,4.0,%,MEN,
Duque 2018-2022,Iván Duque,2020,Deserción intra-anual,6.0,%,MEN,Aumento pandemia
Duque 2018-2022,Iván Duque,2022,Deserción intra-anual,5.5,%,MEN,
Duque 2018-2022,Iván Duque,2018,Pruebas Saber 11 puntaje promedio,265,puntos,ICFES,
Duque 2018-2022,Iván Duque,2020,Pruebas Saber 11 puntaje promedio,258,puntos,ICFES,Impacto pandemia
Duque 2018-2022,Iván Duque,2022,Pruebas Saber 11 puntaje promedio,260,puntos,ICFES,
Duque 2018-2022,Iván Duque,2018,Pruebas PISA matemáticas,377,puntos,OCDE,
Duque 2018-2022,Iván Duque,2018,Pruebas PISA lectura,408,puntos,OCDE,
Duque 2018-2022,Iván Duque,2018,Pruebas PISA ciencias,411,puntos,OCDE,
Duque 2018-2022,Iván Duque,2022,Pruebas PISA matemáticas,391,puntos,OCDE,Mejora post-pandemia
Duque 2018-2022,Iván Duque,2022,Pruebas PISA lectura,413,puntos,OCDE,
Duque 2018-2022,Iván Duque,2022,Pruebas PISA ciencias,413,puntos,OCDE,
Petro 2022-2026,Gustavo Petro,2022,Cobertura neta secundaria,80,%,MEN Anuario Estadístico,
Petro 2022-2026,Gustavo Petro,2024,Cobertura neta secundaria,81.5,%,MEN Anuario Estadístico,Proyección
Petro 2022-2026,Gustavo Petro,2026,Cobertura neta secundaria,83,%,MEN Anuario Estadístico,Proyección
Petro 2022-2026,Gustavo Petro,2022,Tasa analfabetismo,5.2,%,DANE,
Petro 2022-2026,Gustavo Petro,2024,Tasa analfabetismo,5.0,%,DANE,Proyección
Petro 2022-2026,Gustavo Petro,2026,Tasa analfabetismo,4.8,%,DANE,Proyección
Petro 2022-2026,Gustavo Petro,2022,Cobertura educación superior,51,%,MEN,
Petro 2022-2026,Gustavo Petro,2024,Cobertura educación superior,53,%,MEN,Proyección
Petro 2022-2026,Gustavo Petro,2026,Cobertura educación superior,55,%,MEN,Proyección
Petro 2022-2026,Gustavo Petro,2022,Inversión educación % PIB,6.5,%,Banco Mundial,
Petro 2022-2026,Gustavo Petro,2024,Inversión educación % PIB,6.75,%,Banco Mundial,Proyección
Petro 2022-2026,Gustavo Petro,2026,Inversión educación % PIB,7.0,%,Banco Mundial,Proyección
Petro 2022-2026,Gustavo Petro,2022,Deserción intra-anual,5.5,%,MEN,
Petro 2022-2026,Gustavo Petro,2024,Deserción intra-anual,5.0,%,MEN,Proyección
Petro 2022-2026,Gustavo Petro,2026,Deserción intra-anual,4.5,%,MEN,Proyección
Petro 2022-2026,Gustavo Petro,2022,Pruebas Saber 11 puntaje promedio,260,puntos,ICFES,
Petro 2022-2026,Gustavo Petro,2024,Pruebas Saber 11 puntaje promedio,262.5,puntos,ICFES,Proyección
Petro 2022-2026,Gustavo Petro,2026,Pruebas Saber 11 puntaje promedio,265,puntos,ICFES,Proyección
