gobierno,presidente,inicio,fin,indicador,valor_inicio,valor_fin,unidad,fuente,nota
Duque 2018-2022,Iván Duque,2018,2022,Deserción intra-anual,4.0,5.5,%,MEN,Aumento por pandemia 2020-2021
Duque 2018-2022,Iván Duque,2018,2022,Pruebas Saber 11 puntaje promedio,265,260,puntos,ICFES,Impacto pandemia
Duque 2018-2022,Iván Duque,2018,2022,Pruebas PISA matemáticas,377,391,puntos,OCDE,2018-2022
Duque 2018-2022,Iván Duque,2018,2022,Pruebas PISA lectura,408,413,puntos,OCDE,2018-2022
Duque 2018-2022,Iván Duque,2018,2022,Pruebas PISA ciencias,411,413,puntos,OCDE,2018-2022
Petro 2022-2026,Gustavo Petro,2022,2026,Cobertura neta primaria,97,97.5,%,MEN Anuario Estadístico,Proyección
Petro 2022-2026,Gustavo Petro,2022,2026,Cobertura neta secundaria,80,83,%,MEN Anuario Estadístico,Proyección
Petro 2022-2026,Gustavo Petro,2022,2026,Tasa analfabetismo,5.2,4.8,%,DANE,Proyección
Petro 2022-2026,Gustavo Petro,2022,2026,Cobertura educación superior,51,55,%,MEN,Proyección
Petro 2022-2026,Gustavo Petro,2022,2026,Inversión educación % PIB,6.5,7.0,%,Banco Mundial,Proyección
Petro 2022-2026,Gustavo Petro,2022,2026,Inversión educación % gasto público,21,22,%,DNP,Proyección
Petro 2022-2026,Gustavo Petro,2022,2026,Deserción intra-anual,5.5,4.5,%,MEN,Recuperación post-pandemia
Petro 2022-2026,Gustavo Petro,2022,2026,Pruebas Saber 11 puntaje promedio,260,265,puntos,ICFES,Proyección
